clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,
HBOS,0.700166667,4201,2366,3634,0.190935838,0.26279465,0.563199238
HBOS,0.709166667,4255,2234,3766,0.288169657,0.245279779,0.525029377
HBOS,0.709666667,4258,2246,3754,0.309538768,0.245758742,0.527477689
HBOS,0.707166667,4243,2396,3604,0.319165277,0.249828087,0.564694791
HBOS,0.710833333,4265,2324,3676,0.272570112,0.245012313,0.544900352
HBOS,0.708833333,4253,2394,3606,0.314691431,0.248110894,0.562896779
HBOS,0.704166667,4225,2361,3639,0.336971414,0.253623535,0.558816568
HBOS,0.705,4230,2370,3630,0.340986497,0.253370002,0.560283688
HBOS,0.707666667,4246,2259,3741,0.29028394,0.246870412,0.532030146
HBOS,0.713166667,4279,2290,3710,0.310914593,0.243216274,0.535171769
HBOS,0.711392851,4040,2169,3510,0.276576668,0.244049117,0.536881188
HBOS,0.705743642,4190,2352,3585,0.335794536,0.252233192,0.561336516
HBOS,0.70606215,4158,2300,3589,0.310609812,0.249823626,0.553150553
HBOS,0.708833333,4253,2367,3633,0.304249359,0.247397675,0.556548319
HBOS,0.710333333,4262,2362,3638,0.311751724,0.246367873,0.554199906
HBOS,0.710166667,4261,2266,3734,0.25779456,0.245242538,0.531800047
HBOS,0.705776821,3934,2189,3385,0.325505598,0.251146529,0.556431113
HBOS,0.706333333,4238,2312,3688,0.315981989,0.249612282,0.545540349
HBOS,0.710666667,4264,2262,3738,0.33443209,0.246964366,0.530487805
HBOS,0.7075,4245,2354,3646,0.355252534,0.252783574,0.554534747
HBOS,0.707833333,4247,2395,3605,0.301640794,0.248467721,0.563927478
HBOS,0.700166667,4201,2357,3643,0.193040276,0.262193791,0.561056891
HBOS,0.707166667,4243,2400,3600,0.201326005,0.256223202,0.565637521
HBOS,0.708666667,4252,2395,3605,0.198382616,0.255402629,0.563264346
HBOS,0.698833333,4193,2352,3648,0.196839978,0.262488584,0.560934891
HBOS,0.703666667,4222,2407,3593,0.197980182,0.259779437,0.570108953
HBOS,0.695833333,4175,2324,3676,0.203473054,0.263191875,0.556646707
HBOS,0.7025,4215,2334,3666,0.201891006,0.258312003,0.553736655
HBOS,0.7045,4227,2391,3609,0.198794151,0.258575284,0.565649397
HBOS,0.705666667,4234,2400,3600,0.204463302,0.256910123,0.566839868
HBOS,0.700166667,4201,2349,3651,0.184546044,0.263535824,0.559152583
HBOS,0.7035,4221,2340,3660,0.18590757,0.260397135,0.554371002
HBOS,0.705833333,4235,2395,3605,0.206825624,0.256281706,0.565525384
HBOS,0.7055,4233,2404,3596,0.204792605,0.257085746,0.567918734
HBOS,0.705333333,4232,2305,3695,0.187339619,0.257782388,0.544659735
HBOS,0.703833333,4223,2347,3653,0.194215401,0.258813706,0.555766043
HBOS,0.706333333,4238,2340,3660,0.194341612,0.256622095,0.552147239
HBOS,0.702333333,4214,2400,3600,0.20319699,0.259797406,0.569530138
HBOS,0.704666667,4228,2319,3681,0.192023349,0.257836653,0.548486282
HBOS,0.703833333,4223,2395,3605,0.208293784,0.257667002,0.56713237
HBOS,0.705833333,4235,2397,3603,0.205456352,0.256545249,0.565997639
HBOS,0.001,6,5,5995,0.499582916,0.998999167,0.833333333
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,2,5998,0.499833166,0.998999667,0.333333333
HBOS,0.001,6,4,5996,0.499666333,0.998999333,0.666666667
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,4,5996,0.499666333,0.998999333,0.666666667
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,5,5995,0.499582916,0.998999167,0.833333333
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,3,5997,0.49974975,0.9989995,0.5
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,5,5995,0.499582916,0.998999167,0.833333333
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,2,5998,0.499833166,0.998999667,0.333333333
HBOS,0.001,6,0,6000,0.5,0.999,0
HBOS,0.001,6,5,5995,0.499582916,0.998999167,0.833333333
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,5,5995,0.499582916,0.998999167,0.833333333
HBOS,0.001,6,5,5995,0.499582916,0.998999167,0.833333333
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,1,5999,0.499916583,0.998999833,0.166666667
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,6,5994,0.499499499,0.998999,1
HBOS,0.001,6,3,5997,0.49974975,0.9989995,0.5
HBOS,0.001,6,5,5995,0.499582916,0.998999167,0.833333333
HBOS,0.001,6,5,5995,0.499582916,0.998999167,0.833333333
